Symbol,ROE,DebtToEquity,EPS,BookValuePerShare,CurrentRatio,NetProfitMargin,Segment,DilutedEPS,RevenueCr,NetProfitCr,OperatingMargin,ROA,TotalDebtCr,EquityCr,TotalAssetsCr,CashCr,SharesOutstandingCr,EffectiveTaxRate
SRTL,7.14,0.1522,4.67,49.65,2.33,5.19,Company has only one reportable segment - Cotton Yarn Manufacturing.,4.67,272.89,14.17,,4.59,30.2,198.48,308.65,34.27,3.9975,
SSDL,12.02,0.0,5.89,49.16,2.98,3.71,Apparels,5.89,631.16,23.41,,8.16,,194.66,286.94,69.93,3.96,
SSWL,10.54,0.4576,12.11,114.82,1.01,3.67,AUTO COMPONENTS,12.07,5182.8,190.22,,4.96,825.9,1804.81,3831.38,6.39,15.718,
STALLION,6.44,0.05,5.34,58.63,11.85,10.18,Fluorochemical,5.34,430.68,43.84,,5.95,34.01,680.6,737.04,212.47,11.6086,
STANLEY,2.75,0.0023,2.12,82.82,2.83,3.1,Manufacture and Trading of Furniture and Leather Products,2.12,419.3,13.0,,1.46,1.08,472.06,890.58,24.3,5.7,
STAR,5.59,0.3497,19.92,356.23,1.29,8.42,Pharmaceutical,19.92,2180.14,183.63,,3.4,1148.14,3283.52,5395.72,16.17,9.2173,
STARCEMENT,12.25,0.1839,9.73,78.88,1.31,10.34,CEMENT,9.73,3776.49,390.46,,8.4,586.19,3188.08,4646.86,13.14,40.418,
STARHEALTH,,,,,0.6,,,,,,,,,,8021.22,,,
STARPAPER,4.62,0.0,20.98,453.8,7.9,7.99,PAPER AND PAPER BOARD,20.98,409.94,32.75,,3.91,,708.3,837.71,9.34,1.5608,
STARTECK,8.98,0.0,23.83,265.33,,66.04,Non-Banking Financial Institution,23.83,35.76,23.61,,3.5,,262.95,675.23,0.43,0.991,
STCINDIA,,,2.76,,,,,2.76,0.0,635.62,,,,,,,6.0,
STEELCAS,21.99,0.0,8.58,39.03,5.07,20.53,STEEL CASTING,8.58,423.17,86.86,,18.87,,395.02,460.2,1.35,10.12,
STEELCITY,10.35,0.0716,9.57,91.35,1.99,22.95,,9.57,62.27,14.29,,6.02,9.88,138.0,237.38,4.1,1.5107,
STEELXIND,3.52,0.0042,0.22,6.16,2.26,2.55,,0.22,1059.44,26.99,,1.96,417.54,767.86,1374.91,0.08,124.7221,
STEL,1.23,0.0,10.76,872.1,24.73,72.38,CORE INVESTMENT COMPANY,10.76,27.43,19.85,,1.16,,1609.49,1713.17,0.01,1.8455,
STERTOOLS,5.57,0.2494,8.1,144.8,1.97,3.54,FASTENERS,8.02,827.81,29.33,,3.57,131.24,526.25,821.11,48.41,3.6345,
STLNETWORK,-12.38,0.0117,-2.03,16.4,1.5,-10.34,Global Service Business,-2.03,958.96,-99.11,,-3.48,927.47,800.37,2848.54,84.74,48.8,
STLTECH,0.13,0.0068,0.04,31.14,1.14,0.08,Telecom Products and Solutions,0.04,2446.0,2.0,,0.05,1175.0,1526.0,4012.0,166.0,49.0,
STOVEKRAFT,8.33,0.0048,12.69,152.31,0.97,2.61,Kitchen and Home Appliances,12.69,1607.42,41.99,,3.58,2.42,504.24,1174.16,21.95,3.3107,
STUDDS,15.96,0.0001,21.28,133.31,2.68,13.29,Helmets and accessories,21.28,630.18,83.75,,13.17,,524.62,636.07,70.27,3.9354,
STYL,16.83,0.054,15.45,88.13,5.86,16.65,The Company has only business segment i.e. business of Security & variable data Printing,15.45,1441.13,240.01,,14.4,76.93,1425.97,1667.23,187.6,16.1806,
STYLAMIND,18.57,0.036,88.25,476.14,3.48,13.27,Manufacture of Laminates,88.25,1129.29,149.87,,15.3,29.09,806.95,979.29,65.24,1.6948,
STYLEBAAZA,10.41,0.7724,6.28,60.33,0.97,2.55,Value  Retail,6.28,1840.95,46.87,,2.49,347.72,450.17,1882.59,12.53,7.4617,
STYRENIX,13.38,0.2262,103.98,776.75,2.29,5.32,Engineering Polymers,103.98,3438.03,182.85,,7.37,309.05,1366.31,2482.56,70.13,1.759,
SUBEXLTD,3.42,0.0,0.11,3.05,1.05,2.29,Information Technology,0.11,256.07,5.86,,1.7,,171.59,344.43,17.85,56.2,
SUBROS,13.31,0.024,25.39,190.67,1.61,4.41,Manufacturing of Automotive Air-Conditioning System,25.39,3755.52,165.65,,7.76,29.81,1244.1,2134.11,11.77,6.525,
SUDARCOLOR,7.81,0.0,19.29,247.0,2.89,5.7,Pigments,19.29,780.63,44.53,,5.53,,570.08,804.83,133.36,2.308,
SUDARSCHEM,1.06,0.5498,2.8,490.96,2.06,0.42,,2.8,9787.2,40.8,,0.42,2119.0,3854.0,9723.3,932.9,7.85,
SUDEEPPHRM,19.41,0.1651,15.5,79.51,3.09,27.14,,15.5,642.26,174.28,,14.83,148.29,898.09,1174.88,26.74,11.2949,
SUKHJITS,4.76,0.582,5.65,181.62,1.59,1.89,,8.65,1432.43,27.03,,2.48,330.23,567.37,1089.28,0.71,3.124,
SULA,0.56,0.474,0.37,65.51,1.37,0.62,The Company is engaged in the business of manufacture| purchase| and sale of alcoholic beverages (wines and spirits),0.37,500.44,3.1,,0.32,262.25,553.22,963.64,5.57,8.445,
SUMEETINDS,12.9,0.7517,53.0,4.03,1.56,2.6,TEXTILE,0.53,1050.42,27.33,,4.96,159.27,211.89,550.81,38.65,52.6326,
SUMICHEM,16.0,0.0004,10.88,67.99,3.44,16.77,AGROCHEMICALS,10.88,3238.32,542.98,,12.14,1.5,3393.78,4474.19,68.92,49.9146,
SUMIT,5.26,0.4795,1.98,37.69,4.0,10.46,Construction,1.98,90.74,9.49,,3.16,86.49,180.37,300.61,2.96,4.7859,
SUMMITSEC,1.22,0.0,95.98,7847.04,,72.62,Investment,95.98,144.08,104.63,,1.07,,8554.68,9810.87,1.23,1.0902,
SUNCLAY,19.48,1.0005,114.48,587.75,0.88,12.46,Automotive Components,114.48,2025.61,252.38,,7.69,1296.01,1295.4,3281.77,44.13,2.204,
SUNDARAM,3.51,0.2207,0.07,1.91,2.93,2.32,Manufacturing of Exercise Books,0.07,137.11,3.18,,2.75,20.02,90.69,115.73,0.08,47.3878,
SUNDARMFIN,13.82,0.0468,186.81,1351.39,,20.99,,186.81,9808.92,2058.86,,2.4,,14893.65,85795.41,525.62,11.021,
SUNDRMBRAK,2.52,0.4488,6.52,259.34,1.39,0.74,Friction Materials,6.52,344.65,2.57,,1.23,45.79,102.04,209.12,0.29,0.3935,
SUNDRMFAST,13.79,0.1392,28.13,204.56,2.12,9.43,Automotive Component,28.13,6288.82,592.85,,9.98,598.42,4297.75,5937.43,80.91,21.01,
SUNDROP,1.36,0.0,5.34,392.17,1.85,1.3,The Company is in the food business and hence as per Indian Accounting Standard 108 Operating Segments| Foods is considered as the operating segment of the Group since the Chief Operating Decision Maker| CODM| reviews business performance at an overall Group level as one segment.,5.34,1549.44,20.13,,1.1,,1478.48,1831.49,31.36,3.77,
SUNFLAG,2.28,0.0535,11.23,492.41,1.47,5.14,ROLLED PRODUCTS,11.23,3939.38,202.37,,1.79,474.55,8874.14,11292.46,181.89,18.022,
SUNPHARMA,13.72,0.0487,47.8,349.6,2.82,19.69,Pharmaceuticals,47.8,58462.04,11508.65,,10.58,4081.61,83879.74,108785.22,9770.51,239.93,
SUNTECK,-0.76,0.2284,-1.34,176.31,3.18,-9.39,Construction and Development of Real Estate Project,-1.34,209.41,-19.67,,-0.53,591.22,2588.91,3688.68,29.01,14.6842,
SUNTV,11.31,0.0,35.36,312.6,7.79,33.97,Media and Entertainment,35.36,4102.13,1393.52,,10.38,,12319.1,13431.39,209.59,39.408,
SUPERHOUSE,0.75,0.369,2.87,455.08,1.64,0.54,,2.87,676.76,3.68,,0.43,180.52,489.19,862.32,17.44,1.075,
SUPERSPIN,-11.75,0.2536,-1.06,8.98,0.33,-91.96,,-1.06,6.31,-5.8,,-6.46,12.53,49.39,89.84,1.24,5.5,
SUPRAJIT,12.71,0.5463,13.31,104.76,1.45,4.78,Automotive cables| speedo meters| halogen bulbs|etc,13.3,3824.82,182.67,,5.76,784.96,1436.93,3173.2,100.01,13.717,
SUPREME,0.07,0.0106,0.09,147.11,6.04,10.3,Construction,0.09,3.81,0.39,,0.07,6.03,568.53,595.11,2.47,3.8647,
SUPREMEENG,,,-0.19,,,-2.49,NA,-0.19,20.41,-0.51,,,,,,,24.995,
SUPREMEIND,16.71,0.0,71.74,429.12,2.2,8.12,,71.74,11217.67,911.29,,12.88,,5452.01,7076.51,648.45,12.705,
SUPREMEINF,2509.03,6.3207,1477.88,23.69,0.41,8871.38,,1430.14,65.34,5796.43,,215.58,1460.22,231.02,2688.7,1.95,9.7503,
SUPRIYA,17.46,0.0,25.98,148.81,4.4,25.26,Pharmaceuticals,25.98,827.88,209.12,,15.41,,1197.73,1357.11,37.55,8.0485,
SURAJEST,7.82,0.4703,16.09,205.91,3.21,19.02,Real Estate,16.09,404.1,76.88,,4.46,462.61,983.72,1724.38,8.07,4.7774,
SURAJLTD,5.42,0.4377,4.07,75.01,1.35,3.63,Stainless and various Steel| Seamless Pipes| Tubes| flanges & fittings business.,4.07,205.85,7.47,,3.31,60.3,137.76,226.01,0.12,1.8364,
SURAKSHA,12.9,0.0071,6.18,46.75,1.05,10.12,DIAGNOSTIC,6.18,310.41,31.4,,7.01,1.73,243.48,448.12,3.21,5.2081,
SURANASOL,2.16,0.0,0.25,11.68,3.2,5.95,,0.25,20.83,1.24,,1.84,,57.47,67.36,0.86,4.9207,
SURANAT&P,13.71,0.4005,1.82,13.26,2.86,45.68,,1.82,54.03,24.68,,9.61,72.08,179.96,256.96,0.07,13.5759,
SURYALAXMI,1.14,0.0095,1.66,144.92,1.32,0.39,Textile,1.66,794.72,3.12,,0.43,257.83,272.53,725.26,0.15,1.8805,
SURYAROSNI,10.85,0.0247,13.13,121.03,3.21,3.79,,13.13,7540.42,285.81,,8.06,64.92,2633.55,3544.91,44.48,21.76,
SURYODAY,,,,,,,,,,,,,,,19883.96,,10.629,
SUTLEJTEX,-10.59,1.1395,-5.27,49.78,1.13,-3.35,,-5.27,2575.49,-86.31,,-4.21,929.11,815.37,2050.35,6.91,16.38,
SUVEN,-3.65,0.0,-2.41,57.01,144.2,-771.12,The Company has only one business segment| i.e. Research & Development and does not operate in any other segments. Hence| segment reporting as per IND AS 108 (Operating Segment) is not presented,-2.41,7.11,-54.86,,-3.58,,1503.37,1531.06,2.28,26.372,
SUVIDHAA,-36.04,0.0463,-0.48,1.34,0.79,-288.52,E-commerce,-0.47,3.5,-10.1,,-15.94,1.3,28.03,63.37,1.93,20.981,
SUYOG,12.88,0.2769,54.7,417.83,1.73,28.43,Operating Segment,52.4,221.85,63.07,,6.69,135.56,489.58,942.53,16.43,1.1717,
SUZLON,41.83,0.0,3.0,7.16,1.6,27.24,Single segment,3.0,15091.53,4111.01,,22.73,,9827.75,18084.78,297.67,1372.495,
SVLL,14.49,2.9024,5.03,,0.99,2.58,,5.02,223.99,5.78,,2.21,115.71,39.87,261.45,0.86,,
SVPGLOB,-6.77,-4.2697,3.61,-53.24,0.68,906.64,TEXTILES,3.61,5.03,45.62,,1.62,2875.5,-673.47,2809.01,4.76,12.65,
SWANCORP,2.95,0.2288,8.65,293.33,1.91,6.21,,8.65,4371.2,271.28,,1.96,2103.49,9194.73,13853.0,664.77,31.3457,
SWANDEF,-324.41,39.1322,-42.88,13.22,4.49,-80.07,The Company is engaged only in the business of Ship-building and repairs. As such| there are no separate reportable segments.,-42.88,282.14,-225.91,,-7.13,2725.06,69.64,3167.19,184.02,5.2682,
SWARAJENG,40.15,0.0,161.6,402.4,2.06,9.78,Diesel Engine and its components,161.56,2007.13,196.31,,25.21,,488.92,778.83,17.26,1.215,
SWELECTES,6.03,0.8357,36.4,629.58,1.49,8.76,Solar and other related activities,36.36,657.12,57.58,,2.76,797.58,954.36,2082.81,36.46,1.5159,
SWIGGY,-16.41,0.0,-13.88,79.84,4.81,-41.4,,-13.84,8258.0,-3419.0,,-14.23,,20839.0,24019.0,1832.0,261.0,
SWSOLAR,-546.96,2.5359,-107.5,19.65,0.94,-40.72,,-107.5,6163.81,-2510.18,,-52.63,1163.79,458.93,4769.83,205.16,23.35,
SYMPHONY,-25.87,0.2642,-20.54,79.39,1.52,-12.47,,-20.54,1131.0,-141.0,,-13.7,144.0,545.0,1029.0,50.0,6.865,
SYNCOMF,18.42,0.0036,0.81,4.41,3.18,15.63,,0.81,489.17,76.44,,14.32,1.47,414.99,533.85,5.15,94.0,
SYNGENE,6.54,0.0019,7.87,120.11,1.38,8.47,Contract Research and Manufacturing Services,7.87,3738.7,316.7,,4.49,9.4,4839.1,7054.7,228.6,40.29,
SYRMA,11.28,0.1152,16.94,159.14,1.7,7.18,Electronics Manufacturing Services,16.92,4819.06,345.81,,5.99,353.12,3065.47,5770.01,192.28,19.2625,
SYSTMTXC,4.41,0.0885,1.01,22.99,,9.47,,1.01,146.17,13.84,,3.18,,313.91,435.39,23.8,13.6538,
TAINWALCHM,6.26,0.0,11.52,183.88,8.12,60.48,,11.52,17.83,10.79,,5.75,,172.18,187.5,0.6,0.9364,
TAJGVK,28.91,0.0485,65.31,226.37,1.26,80.69,Single segment,65.31,508.45,410.27,,23.05,68.78,1419.37,1779.82,32.44,6.27,
TAKE,35.0,0.0,0.74,2.1,4.54,20.02,Life Sciences,0.74,54.19,10.85,,29.94,,31.0,36.24,0.26,14.7934,
TALBROAUTO,14.01,0.1008,16.87,120.36,1.96,11.97,AUTO COMPONENTS AND PARTS,16.87,870.04,104.11,,9.59,74.9,742.95,1085.1,35.83,6.1728,
TALWALKARS,-60.75,0.0695,-2.82,46.39,0.67,,Wellness & Gym,-2.82,0.0,-87.38,,-56.8,10.0,143.84,153.84,0.0,3.1005,
TANLA,26.99,0.2568,10.46,38.81,0.79,18.66,CpaaS provider,10.43,744.34,138.91,,14.91,132.19,514.71,931.76,21.04,13.2617,
TARACHAND,18.56,0.9279,3.51,18.93,1.72,9.73,,3.51,284.85,27.7,,5.36,138.46,149.23,516.48,26.85,7.8825,
TARAPUR,99.16,-0.0,-0.95,-0.95,0.57,,Manufacturing and repairs of transformers,-0.95,0.0,-1.85,,-15.87,,-1.86,11.64,0.08,1.95,
TARC,1.79,0.0178,0.64,36.0,1.37,5.77,Real estate business,0.64,329.84,19.03,,0.41,1888.71,1062.31,4599.59,77.35,29.5097,
TARIL,17.64,0.2959,9.07,51.42,1.82,10.85,manufacturer of various types of transformers,9.07,2508.8,272.17,,10.21,456.61,1542.99,2665.72,8.1,30.01,
TARMAT,3.51,0.0831,2.64,74.61,4.47,5.59,INFRA,2.64,117.37,6.56,,2.73,15.55,187.01,240.38,21.28,2.5064,
TARSONS,2.26,0.6029,2.69,119.29,1.01,3.39,,2.69,422.51,14.32,,1.21,382.63,634.69,1185.82,23.19,5.3205,
TASTYBITE,10.32,0.0,137.57,1332.84,2.57,6.43,PREPARED FOOD,137.57,548.65,35.3,,7.43,,342.01,475.12,27.3,0.2566,
TATACAP,10.38,0.0526,11.76,111.72,,15.51,,11.76,31539.89,4890.91,,1.68,,47107.31,290503.54,3640.56,421.669,
TATACHEM,-7.73,0.3608,-74.42,869.61,1.07,-11.76,,-74.42,14584.0,-1715.0,,-4.39,8001.0,22175.0,39031.0,381.0,25.5,
TATACOMM,7.5,0.4491,27.86,371.18,0.57,10.76,,27.82,7375.71,793.87,,3.72,4751.1,10578.69,21333.16,196.9,28.5,
TATACONSUM,6.67,0.0012,15.59,234.33,1.57,7.62,,15.58,20290.43,1546.8,,4.49,2120.31,23188.86,34452.96,3046.57,98.96,
TATAELXSI,20.66,0.0005,100.89,488.2,4.0,16.73,,100.89,3757.42,628.43,,15.86,,3041.34,3962.54,194.52,6.2297,
TATAINVEST,1.48,0.0,8.57,577.49,,109.15,Investment Activity,8.57,397.34,433.68,,1.33,,29221.16,32652.13,1.93,50.6,
TATAPOWER,10.77,0.0162,11.72,148.76,0.78,8.2,,11.71,62428.59,5117.56,,2.92,71122.39,47538.07,175171.78,4409.67,319.56,
TATASTEEL,10.49,0.0079,8.65,83.19,0.75,4.69,,8.65,232139.94,10885.82,,3.61,92381.68,103780.45,301254.11,8884.95,1247.44,
TATATECH,13.93,0.1696,13.47,96.63,1.53,9.93,,13.47,5505.57,546.59,,6.1,665.56,3923.37,8953.46,682.34,40.6,
TATVA,5.38,0.154,17.98,334.2,1.64,8.31,Specialty Chemicals,17.98,505.86,42.05,,4.19,120.37,781.76,1003.69,5.76,2.3392,
TBOTEK,15.75,0.416,22.88,142.8,1.08,9.12,,22.76,2677.48,244.31,,2.62,645.1,1550.66,9308.88,1021.62,10.859,
TBZ,24.14,0.9374,30.32,125.6,1.65,6.32,GEM AND JEWELLERY,30.32,3202.95,202.31,,9.62,785.7,838.15,2101.99,27.16,6.6731,
TCC,2.78,0.0041,10.42,311.2,0.73,64.92,Brokerage & Other services,9.8,63.27,41.08,,2.7,6.04,1479.09,1523.76,2.89,4.7528,
TCI,18.65,0.068,57.89,311.22,2.79,10.51,,57.78,4224.8,444.0,,14.14,161.9,2380.8,3139.5,88.3,7.65,
TCIEXP,9.95,0.0405,21.21,213.23,3.12,6.58,Express Cargo,21.16,1237.53,81.43,,7.95,33.16,818.8,1024.75,16.11,3.84,
TCIFINANCE,2.32,-0.0,-1.39,-59.71,,,Non Banking Financial Company,-1.39,0.0,-1.78,,-26.26,,-76.85,6.79,0.05,1.287,
TCPLPACK,13.5,0.7739,106.79,791.28,1.25,5.6,printing,106.79,1736.15,97.18,,5.87,557.28,720.07,1656.97,8.91,0.91,
TCS,,,36.9,,,18.57,,36.9,72275.0,13420.0,,,,,,,362.0,
TDPOWERSYS,22.28,0.0169,15.29,68.61,1.95,12.86,The Company is engaged in manufacturing of AC Generators and Electric Motors for various applications| which is monitored as a single segment by the chief operating decision maker in the context of Ind AS 108| and hence no additional disclosures are required.,15.28,1856.23,238.77,,12.72,18.1,1071.76,1876.6,78.34,15.6215,
TEAMGTY,1.48,0.0,0.85,53.97,,13.06,INVESTMENT ACTIVITY,0.85,5.49,0.72,,1.45,,48.53,49.53,4.81,0.8993,
TEAMLEASE,13.34,0.0323,83.3,631.99,1.45,1.2,,83.3,11790.67,141.38,,5.05,34.23,1059.84,2800.48,169.75,1.677,
TECHIN,-6.04,6.8616,-0.44,7.19,0.09,,REAL ESTATE DEVELOPMENT,-0.44,0.0,-0.62,,-0.77,70.63,10.29,81.24,0.04,1.4326,
TECHM,15.98,0.0727,54.28,339.62,1.9,8.46,,54.19,56815.4,4805.5,,9.73,2186.2,30077.0,49369.4,5046.1,88.56,
TECHNOE,11.4,0.0174,40.74,357.43,4.06,14.57,EPC,40.74,3251.63,473.87,,7.98,72.49,4156.88,5938.5,53.31,11.63,
TECILCHEM,2.27,-0.6922,-0.22,-9.85,0.09,,Single segment,-0.22,0.0,-0.42,,-9.81,12.93,-18.67,4.33,,1.8964,
TEGA,4.19,0.0932,20.54,453.52,4.72,8.43,,20.54,1691.94,142.65,,3.31,317.61,3407.18,4314.5,1163.89,7.5128,
TEJASNET,-31.01,1.3769,-51.35,161.92,1.2,-82.38,Telecom and data networking related products and services,-51.35,1103.28,-908.89,,-9.67,4035.47,2930.87,9402.73,102.68,18.101,
TEMBO,19.97,0.7655,55.11,265.21,1.91,9.01,,51.23,1090.19,98.23,,7.52,376.51,491.84,1306.33,85.09,1.8545,
TENNIND,50.34,0.0,14.95,29.75,1.42,11.18,Auto Components & Equipments,14.95,5403.98,604.36,,23.82,,1200.53,2537.09,571.23,40.3604,
TERASOFT,16.99,0.2699,19.82,116.66,1.69,10.42,,19.82,238.05,24.8,,7.63,39.4,145.96,325.08,5.31,1.2512,
TEXINFRA,1.05,0.0195,0.86,83.81,1.76,63.94,,0.86,17.46,11.16,,0.84,20.83,1068.01,1330.87,2.97,12.7428,
TEXMOPIPES,6.14,0.201,4.76,78.42,2.11,3.74,"The Company is primarily engaged in business of plastic products which constitute a single reportable segment in accordance with IND AS 108 ""Segment reporting"".",4.76,375.71,14.05,,3.76,46.01,228.96,373.6,8.02,2.9195,
TEXRAIL,8.03,0.3152,4.64,57.27,1.65,4.28,,4.64,4371.4,187.0,,3.9,734.46,2330.08,4795.92,55.34,40.6865,
TFCILTD,9.39,0.0,2.67,28.41,,45.11,Finance,2.67,273.69,123.46,,5.12,,1315.14,2411.8,51.23,46.2977,
TFL,-15.43,0.0,-0.97,5.2,,-30.65,Financial Services,-0.97,14.43,-4.42,,-6.91,,28.66,63.97,0.64,5.5116,
TGBHOTELS,1.85,0.0676,0.49,26.48,3.06,3.73,HOTEL INDUSTRY,0.49,38.48,1.43,,1.28,5.24,77.56,112.25,0.71,2.9286,
THANGAMAYL,24.83,0.0043,113.14,455.6,1.54,4.14,THE COMPANY'S BUSINESS ACTIVITY FALLS WITH IN A SINGLE BUSINESS SEGMENT IN TERMS OF IND AS 108 ON SEGMENT REPORTING,113.14,8499.33,351.65,,9.2,825.57,1416.0,3820.46,124.18,3.108,
THEINVEST,4.72,0.0696,5.76,140.74,2.34,12.2,,5.76,284.54,34.71,,3.48,51.21,735.27,998.1,26.18,5.2242,
THEJO,12.89,0.014,45.41,349.34,2.7,7.73,,45.4,632.09,48.85,,8.9,5.3,378.95,548.69,35.22,1.0848,
THELEELA,3.06,0.0153,8.51,270.31,1.46,63.04,Hoteliering,8.51,437.46,275.79,,2.89,138.5,9027.06,9535.68,4.37,33.3958,
THEMISMED,0.29,0.2511,0.12,43.28,1.84,0.33,Pharmaceutical,0.12,342.24,1.14,,0.19,100.09,398.58,597.91,4.54,9.21,
THERMAX,14.66,0.0283,54.46,371.56,1.26,9.96,Industrial Products| Industrial Infra| Green Solutions and Chemical,54.46,6518.26,648.91,,8.59,125.16,4427.09,7558.2,100.14,11.915,
THOMASCOOK,8.74,0.1099,4.7,53.65,0.86,2.63,,4.69,8398.17,220.48,,2.79,277.29,2523.55,7898.52,959.9,47.04,
THOMASCOTT,14.06,0.3382,13.35,93.59,2.23,7.57,Textile,13.35,254.89,19.3,,8.12,46.44,137.31,237.64,0.05,1.467,
THYROCARE,27.79,0.0,10.27,36.82,3.39,19.64,,10.24,829.04,162.85,,21.79,,586.02,747.22,38.32,15.916,
TI,0.7,0.7697,0.97,120.63,2.5,0.4,Manufacturung and Sale of IMFL,0.96,5247.58,20.87,,0.34,2294.92,2981.71,6160.07,218.2,24.7171,
TICL,2.46,1.1368,0.5,20.09,0.55,11.34,,0.5,67.45,7.65,,1.0,354.03,311.42,767.2,3.24,15.5,
TIGERLOGS,13.45,0.3143,2.05,15997.99,2.3,3.76,Logistics,2.05,572.82,21.52,,8.19,50.28,159.98,262.62,1.26,0.01,
TIIL,14.18,0.3964,125.84,911.37,2.04,10.62,,125.84,2758.98,293.08,,9.02,819.08,2066.34,3249.33,160.09,2.2673,
TIINDIA,7.87,0.0276,32.91,733.57,1.87,4.89,,32.9,22847.43,1118.22,,5.2,392.37,14201.97,21486.89,532.44,19.36,
TIJARIA,3.81,-2.1553,-0.45,-11.8,1.42,,,-0.45,0.0,-1.29,,-2.64,72.83,-33.79,48.77,,2.8627,
TIL,-27.72,3.299,-4.58,15.78,1.07,-9.52,MATERIAL HANDLING SOLUTION,-4.58,323.25,-30.77,,-4.48,366.25,111.02,687.0,4.74,7.035,
TIMETECHNO,11.44,0.0016,9.99,84.4,3.51,7.81,,9.99,6105.2,476.61,,8.45,639.44,4166.21,5638.65,537.31,49.36,
TIMKEN,14.23,0.0,55.16,387.48,2.97,11.93,Bearings and allied goods,55.16,3478.03,414.88,,11.21,,2914.57,3700.33,268.47,7.5219,
TINNARUBR,17.59,0.4015,29.68,166.76,1.12,9.68,Crumb Rubber| Crumb Rubber Modifier| Modified Bitumen & Bitumen Emulsion and allied products,29.67,545.81,52.85,,9.99,120.63,300.42,529.01,1.07,1.8016,
TIPSFILMS,-53.03,6.301,-36.66,691.32,0.96,-10.01,Films Production| Distribution & exhibition,-36.66,158.27,-15.85,,-6.56,188.31,29.89,241.7,3.92,0.0432,
TIPSMUSIC,83.38,0.0,16.96,20.34,3.15,57.72,Acquisition and Exploitation of Music Rights,16.96,375.51,216.75,,59.87,,259.95,362.03,7.18,12.7832,
TIRUMALCHM,-10.74,1.3386,-14.91,129.65,0.61,-9.67,Chemical products and its intermediaries,-14.91,1735.52,-167.91,,-3.54,2093.0,1563.6,4736.56,63.99,12.06,
TIRUPATIFL,4.72,0.2578,1.02,10.53,1.82,3.87,Manufacturing of Carbon Steel Forged Flanges| Forged Components and other automotive components,1.01,162.48,6.3,,3.09,34.38,133.4,203.79,6.56,12.663,
TITAGARH,5.0,0.2124,9.12,182.45,1.81,3.86,,9.11,3185.82,122.82,,3.04,521.86,2456.73,4039.15,161.86,13.465,
TITAN,32.31,0.0093,57.0,176.44,1.28,5.79,,57.0,87584.0,5073.0,,8.38,11378.0,15703.0,60561.0,873.0,89.0,
TMB,,,,,,,,,,,,,,,75299.6,,15.835,
TMCV,25.09,0.0022,9.13,36.41,0.75,4.34,Commercial Vehicle,9.13,77399.0,3362.0,,7.69,2929.0,13399.0,43696.0,2057.0,368.0,
TMPV,69.54,0.0062,-0.61,322.5,0.84,24.63,,-0.61,335582.0,82645.0,,21.64,69953.0,118842.0,381922.0,22880.0,368.5,
TNPETRO,9.74,0.4934,9.87,101.28,1.14,6.05,PETRO CHEMICALS,9.87,1466.14,88.76,,5.57,449.64,911.23,1593.09,0.05,8.997,
TNPL,10.7,0.6903,35.8,334.63,0.69,5.33,,35.8,4644.89,247.75,,3.99,1598.83,2315.98,6210.11,13.57,6.921,
TNTELE,7.69,-0.197,-3.36,-42.38,0.04,,There is no reportable operating segment in terms of Paragraph number 13 of Ind AS 108 – Operating,0.0,0.0,-14.89,,-89.13,38.13,-193.58,16.71,0.01,4.5676,
TOKYOPLAST,2.22,0.4872,1.48,66.81,1.03,1.78,Plastic Thermoware Products,1.48,79.31,1.41,,1.18,30.93,63.48,119.8,1.57,0.9501,
TOLINS,9.88,0.03,9.03,91.44,10.93,10.91,,9.03,327.12,35.69,,9.09,10.83,361.24,392.55,4.42,3.9508,
TORNTPHARM,25.93,1.6758,64.75,249.72,1.07,20.46,Generic Formulation Business,64.75,10712.0,2192.0,,8.49,14164.0,8452.0,25814.0,71.0,33.846,
TORNTPOWER,12.53,0.0067,47.95,391.12,0.95,8.52,,47.95,28966.31,2469.36,,5.46,13732.93,19708.75,45193.28,766.61,50.39,
TOTAL,8.69,0.4184,4.83,56.13,1.66,1.27,,4.83,621.59,7.87,,4.12,37.87,90.52,191.27,6.31,1.6127,
TOUCHWOOD,9.01,0.0006,3.66,40.38,4.87,5.41,,3.66,74.58,4.03,,7.02,3.53,44.74,57.43,17.11,1.1081,
TPHQ,0.07,0.0094,0.0,1.24,7.2,0.09,,0.0,112.35,0.1,,0.06,1.29,136.1,153.43,0.18,109.622,
TPLPLASTEH,17.21,0.1044,3.73,21.65,1.98,6.88,Industrial Packaging,3.73,422.55,29.07,,11.35,17.63,168.9,256.02,0.11,7.8003,
TRACXN,-15.01,0.0,-0.73,4.92,2.4,-9.4,Platform Subscription,-0.73,83.97,-7.89,,-8.03,,52.55,98.2,0.0,10.6736,
TRANSRAILL,17.69,0.289,30.06,169.93,1.31,5.87,Heavy Electrical Equipment,29.9,6880.11,403.59,,5.49,659.4,2281.29,7354.49,385.24,13.425,
TRANSWORLD,-9.59,0.373,-30.85,321.49,1.06,-18.94,Shipping,-30.85,357.61,-67.73,,-6.25,263.36,705.99,1083.58,12.77,2.196,
TRAVELFOOD,30.9,0.0,33.49,111.17,1.91,27.45,Travel QSR outlets and Lounge services,33.42,1647.8,452.32,,19.84,,1463.84,2279.84,47.72,13.168,
